Model,Concept,MP Index,Chunk ID,Score
LaBSE,ablation,3,1664,0.5477724075317383
LaBSE,ablation,0,452,0.5476071238517761
LaBSE,ablation,2,1103,0.5254520177841187
LaBSE,ablation,1,963,0.5204225778579712
LaBSE,ablation,10,2589,0.5169047713279724
LaBSE,abrupt climate change,9,2459,0.5469213724136353
LaBSE,abrupt climate change,2,1108,0.5382248759269714
LaBSE,abrupt climate change,9,2484,0.5043884515762329
LaBSE,abrupt climate change,0,244,0.49803483486175537
LaBSE,abrupt climate change,5,2094,0.4973282217979431
LaBSE,acceptability of policy or system change,3,1392,0.5407293438911438
LaBSE,acceptability of policy or system change,0,282,0.5304639339447021
LaBSE,acceptability of policy or system change,9,2438,0.5261483192443848
LaBSE,acceptability of policy or system change,0,241,0.5238178968429565
LaBSE,acceptability of policy or system change,3,1396,0.5168781876564026
LaBSE,access to modern energy services,2,995,0.4102395474910736
LaBSE,acclimatisation,0,452,0.583321750164032
LaBSE,acclimatisation,0,232,0.5696077346801758
LaBSE,acclimatisation,0,235,0.5636987686157227
LaBSE,acclimatisation,4,1768,0.5361260771751404
LaBSE,acclimatisation,0,31,0.5333038568496704
LaBSE,accumulation,1,962,0.5239595770835876
LaBSE,accumulation,2,1103,0.5193349719047546
LaBSE,accumulation,4,1814,0.5188567042350769
LaBSE,accumulation,3,1664,0.5142897367477417
LaBSE,accumulation,0,452,0.5032060146331787
LaBSE,acute food insecurity,2,1101,0.4634017050266266
LaBSE,acute food insecurity,5,2095,0.45249277353286743
LaBSE,acute food insecurity,3,1356,0.4469006061553955
LaBSE,acute food insecurity,1,963,0.4418453276157379
LaBSE,acute food insecurity,0,611,0.4403057098388672
LaBSE,adaptation,3,1395,0.5793829560279846
LaBSE,adaptation,4,1774,0.5781757235527039
LaBSE,adaptation,0,235,0.5672755837440491
LaBSE,adaptation,0,716,0.5525498390197754
LaBSE,adaptation,0,203,0.55025315284729
LaBSE,Adaptation Fund,0,35,0.580958902835846
LaBSE,Adaptation Fund,2,1037,0.5638285875320435
LaBSE,Adaptation Fund,2,1227,0.5613248944282532
LaBSE,Adaptation Fund,0,36,0.5537187457084656
LaBSE,Adaptation Fund,3,1584,0.5485475063323975
LaBSE,adaptation behaviour,3,1395,0.40507662296295166
LaBSE,adaptation behaviour,4,1774,0.40286582708358765
LaBSE,adaptation deficit,9,2482,0.4425668716430664
LaBSE,adaptation deficit,3,1395,0.430823415517807
LaBSE,adaptation deficit,9,2481,0.42904502153396606
LaBSE,adaptation gap,4,1816,0.5494195222854614
LaBSE,adaptation gap,4,1825,0.5447362065315247
LaBSE,adaptation gap,4,1813,0.5217834711074829
LaBSE,adaptation gap,0,183,0.5168208479881287
LaBSE,adaptation gap,4,1797,0.5141972899436951
LaBSE,adaptation limits,3,1395,0.5481463670730591
LaBSE,adaptation limits,8,2384,0.5060834884643555
LaBSE,adaptation limits,0,215,0.5048149228096008
LaBSE,adaptation limits,0,452,0.4951971769332886
LaBSE,adaptation limits,3,1392,0.4923219680786133
LaBSE,adaptation needs,9,2485,0.5051249861717224
LaBSE,adaptation needs,4,1816,0.46857601404190063
LaBSE,adaptation needs,4,1817,0.4569513201713562
LaBSE,adaptation needs,9,2484,0.453095942735672
LaBSE,adaptation needs,2,991,0.4521157145500183
LaBSE,adaptation opportunity,2,1196,0.46579688787460327
LaBSE,adaptation opportunity,3,1395,0.46452218294143677
LaBSE,adaptation opportunity,8,2385,0.45236605405807495
LaBSE,adaptation opportunity,9,2461,0.4357971251010895
LaBSE,adaptation opportunity,3,1392,0.432984858751297
LaBSE,adaptation options,3,1395,0.4890007972717285
LaBSE,adaptation options,9,2485,0.4873705506324768
LaBSE,adaptation options,0,235,0.475980669260025
LaBSE,adaptation options,3,1392,0.470178484916687
LaBSE,adaptation options,5,1889,0.46993836760520935
LaBSE,adaptation pathways,5,1890,0.5310837030410767
LaBSE,adaptation pathways,4,1774,0.5035176873207092
LaBSE,adaptation pathways,3,1395,0.49036741256713867
LaBSE,adaptation pathways,5,1891,0.4757305681705475
LaBSE,adaptation pathways,0,203,0.4657299816608429
LaBSE,adaptive capacity,0,673,0.49604570865631104
LaBSE,adaptive capacity,0,191,0.48485979437828064
LaBSE,adaptive capacity,0,188,0.4653572142124176
LaBSE,adaptive capacity,1,785,0.46146512031555176
LaBSE,adaptive capacity,3,1392,0.4585914611816406
LaBSE,adaptive governance,4,1774,0.4898293614387512
LaBSE,adaptive governance,9,2485,0.48463526368141174
LaBSE,adaptive governance,3,1392,0.4808264374732971
LaBSE,adaptive governance,9,2438,0.4688939154148102
LaBSE,adaptive governance,0,716,0.4595513343811035
LaBSE,adaptive management,3,1392,0.5669733881950378
LaBSE,adaptive management,3,1395,0.5550047755241394
LaBSE,adaptive management,4,1813,0.5478914380073547
LaBSE,adaptive management,5,1891,0.5430628657341003
LaBSE,adaptive management,4,1774,0.5386009216308594
LaBSE,added value,1,957,0.5124092102050781
LaBSE,added value,10,2551,0.5094360113143921
LaBSE,added value,9,2481,0.5088387727737427
LaBSE,added value,5,1946,0.5026988387107849
LaBSE,added value,4,1775,0.5010668635368347
LaBSE,additionality,0,452,0.5566133260726929
LaBSE,additionality,1,963,0.5384646654129028
LaBSE,additionality,3,1359,0.5314351320266724
LaBSE,additionality,3,1358,0.5286405086517334
LaBSE,additionality,2,1101,0.5274996757507324
LaBSE,adjustments,10,2589,0.6917446255683899
LaBSE,adjustments,0,244,0.6746699810028076
LaBSE,adjustments,4,1772,0.6318644881248474
LaBSE,adjustments,0,487,0.6206554174423218
LaBSE,adjustments,3,1664,0.6141449809074402
LaBSE,advection,4,1768,0.5407872200012207
LaBSE,advection,4,1803,0.5285541415214539
LaBSE,advection,4,1844,0.5152284502983093
LaBSE,advection,5,2092,0.5147819519042969
LaBSE,advection,4,1804,0.5066350698471069
LaBSE,adverse side-effect,2,1134,0.4706801474094391
LaBSE,adverse side-effect,10,2552,0.45825716853141785
LaBSE,adverse side-effect,3,1395,0.45750439167022705
LaBSE,adverse side-effect,9,2459,0.4326586425304413
LaBSE,adverse side-effect,4,1715,0.4100116491317749
LaBSE,aerosol,4,1768,0.580804705619812
LaBSE,aerosol,0,452,0.5760698914527893
LaBSE,aerosol,4,1808,0.5664708018302917
LaBSE,aerosol,2,1101,0.5622847676277161
LaBSE,aerosol,3,1577,0.5593083500862122
LaBSE,aerosol–cloud interaction,0,244,0.6003202795982361
LaBSE,aerosol–cloud interaction,2,1103,0.5710625052452087
LaBSE,aerosol–cloud interaction,3,1360,0.5660862922668457
LaBSE,aerosol–cloud interaction,0,452,0.5657140612602234
LaBSE,aerosol–cloud interaction,2,1099,0.5621665716171265
LaBSE,aerosol effective radiative forcing,9,2459,0.4190288782119751
LaBSE,aerosol effective radiative forcing,9,2479,0.4147431254386902
LaBSE,aerosol effective radiative forcing,9,2480,0.41050904989242554
LaBSE,aerosol effective radiative forcing,0,452,0.40658581256866455
LaBSE,aerosol effective radiative forcing,0,68,0.40236178040504456
LaBSE,afforestation,4,1809,0.5760031938552856
LaBSE,afforestation,5,2083,0.5546450018882751
LaBSE,afforestation,0,644,0.5468909740447998
LaBSE,afforestation,5,2058,0.5358196496963501
LaBSE,afforestation,3,1483,0.5323560237884521
LaBSE,agreement,2,1188,0.4830472469329834
LaBSE,agreement,4,1837,0.46147918701171875
LaBSE,agreement,8,2384,0.4553017020225525
LaBSE,agreement,9,2459,0.4358612596988678
LaBSE,agreement,2,1187,0.4293156564235687
LaBSE,agricultural and ecological drought,9,2453,0.5663502812385559
LaBSE,agricultural and ecological drought,0,244,0.5464432239532471
LaBSE,agricultural and ecological drought,9,2459,0.5307281613349915
