Model,Concept,MP Index,Chunk ID,Score
MiniLM,abrupt climate change,4,1774,0.40612488985061646
MiniLM,access to modern energy services,5,2081,0.48557859659194946
MiniLM,access to modern energy services,5,2083,0.4815347194671631
MiniLM,access to modern energy services,5,2076,0.43510833382606506
MiniLM,access to modern energy services,5,2082,0.43416962027549744
MiniLM,adaptation,4,1774,0.5476975440979004
MiniLM,adaptation,4,1769,0.4765925705432892
MiniLM,adaptation,4,1815,0.4718804359436035
MiniLM,adaptation,4,1707,0.4614255130290985
MiniLM,adaptation,4,1813,0.45444175601005554
MiniLM,Adaptation Fund,4,1707,0.47669288516044617
MiniLM,Adaptation Fund,0,36,0.43422839045524597
MiniLM,Adaptation Fund,4,1774,0.4310433268547058
MiniLM,Adaptation Fund,0,254,0.4231906831264496
MiniLM,Adaptation Fund,4,1815,0.4191484749317169
MiniLM,adaptation behaviour,4,1774,0.6193203926086426
MiniLM,adaptation behaviour,0,590,0.5205453634262085
MiniLM,adaptation behaviour,4,1815,0.5173506736755371
MiniLM,adaptation behaviour,4,1707,0.5041854977607727
MiniLM,adaptation behaviour,4,1769,0.47866031527519226
MiniLM,adaptation deficit,4,1774,0.5398190021514893
MiniLM,adaptation deficit,0,590,0.49834367632865906
MiniLM,adaptation deficit,4,1769,0.4959958493709564
MiniLM,adaptation deficit,4,1815,0.4754389524459839
MiniLM,adaptation deficit,3,1659,0.42773813009262085
MiniLM,adaptation gap,4,1774,0.6363605856895447
MiniLM,adaptation gap,4,1815,0.551403284072876
MiniLM,adaptation gap,4,1769,0.5347653031349182
MiniLM,adaptation gap,4,1700,0.5343313813209534
MiniLM,adaptation gap,4,1707,0.5294713377952576
MiniLM,adaptation needs,4,1774,0.6087615489959717
MiniLM,adaptation needs,4,1815,0.5744261145591736
MiniLM,adaptation needs,4,1707,0.5481086373329163
MiniLM,adaptation needs,4,1813,0.5260950922966003
MiniLM,adaptation needs,4,1769,0.5244078040122986
MiniLM,adaptation opportunity,4,1774,0.40699848532676697
MiniLM,adaptation options,4,1774,0.4821956157684326
MiniLM,adaptation options,3,1440,0.4260450601577759
MiniLM,adaptation options,4,1707,0.41990116238594055
MiniLM,adaptation options,4,1818,0.4133019745349884
MiniLM,adaptation options,4,1815,0.4122367203235626
MiniLM,adaptive governance,4,1774,0.6091930270195007
MiniLM,adaptive governance,4,1707,0.5696997046470642
MiniLM,adaptive governance,4,1815,0.5144078135490417
MiniLM,adaptive governance,4,1700,0.5044882893562317
MiniLM,adaptive governance,4,1813,0.5008176565170288
MiniLM,added value,4,1774,0.45634007453918457
MiniLM,added value,3,1659,0.44186633825302124
MiniLM,added value,0,243,0.43984076380729675
MiniLM,added value,0,590,0.4276336431503296
MiniLM,added value,0,32,0.4229370951652527
MiniLM,additionality,4,1769,0.4096004366874695
MiniLM,additionality,4,1774,0.40773168206214905
MiniLM,additionality,4,1815,0.40540605783462524
MiniLM,additionality,4,1772,0.4003833830356598
MiniLM,adjustments,4,1769,0.4647151827812195
MiniLM,adjustments,4,1772,0.4626884460449219
MiniLM,adjustments,4,1774,0.42852768301963806
MiniLM,adjustments,4,1815,0.405856192111969
MiniLM,afforestation,1,812,0.5266523361206055
MiniLM,afforestation,0,586,0.46599721908569336
MiniLM,afforestation,0,585,0.4419133961200714
MiniLM,afforestation,3,1664,0.43890291452407837
MiniLM,afforestation,0,125,0.4261114299297333
MiniLM,agricultural and ecological drought,0,244,0.40488162636756897
MiniLM,"Agriculture, Forestry and Other Land Use",4,1775,0.45477843284606934
MiniLM,"Agriculture, Forestry and Other Land Use",1,956,0.43729060888290405
MiniLM,"Agriculture, Forestry and Other Land Use",4,1700,0.43510788679122925
MiniLM,"Agriculture, Forestry and Other Land Use",0,243,0.42811647057533264
MiniLM,"Agriculture, Forestry and Other Land Use",4,1774,0.41650038957595825
MiniLM,agroecology,0,512,0.5390991568565369
MiniLM,agroecology,0,318,0.5320845246315002
MiniLM,agroecology,0,69,0.5262261033058167
MiniLM,agroecology,0,583,0.4996147155761719
MiniLM,agroecology,0,309,0.4966830611228943
MiniLM,agroforestry,0,521,0.49921801686286926
MiniLM,agroforestry,3,1664,0.4955730140209198
MiniLM,agroforestry,1,812,0.49252188205718994
MiniLM,agroforestry,0,583,0.4613579511642456
MiniLM,agroforestry,3,1574,0.46045824885368347
MiniLM,air pollution,10,2601,0.4091933071613312
MiniLM,anthropocene,10,2554,0.46547263860702515
MiniLM,anthropocene,5,1884,0.4508543610572815
MiniLM,anthropocene,4,1822,0.43863338232040405
MiniLM,anthropocene,5,1894,0.4262935221195221
MiniLM,anthropocene,3,1369,0.4229391813278198
MiniLM,anthropogenic emissions,0,243,0.4123983681201935
MiniLM,anthropogenic removals,4,1775,0.46725428104400635
MiniLM,anthropogenic removals,4,1773,0.4384291470050812
MiniLM,anthropogenic removals,4,1700,0.43441471457481384
MiniLM,anthropogenic removals,4,1720,0.42120271921157837
MiniLM,anthropogenic removals,4,1774,0.41876909136772156
MiniLM,anthropogenic subsidence,2,1104,0.5746259093284607
MiniLM,anthropogenic subsidence,2,1103,0.5544198751449585
MiniLM,anthropogenic subsidence,3,1662,0.46850940585136414
MiniLM,anthropogenic subsidence,4,1808,0.44832342863082886
MiniLM,anthropogenic subsidence,1,816,0.446618914604187
MiniLM,artificial ocean upwelling,4,1775,0.46326684951782227
MiniLM,artificial ocean upwelling,4,1772,0.4580579996109009
MiniLM,artificial ocean upwelling,4,1700,0.42281976342201233
MiniLM,artificial ocean upwelling,4,1773,0.4165521562099457
MiniLM,assets,0,254,0.43922048807144165
MiniLM,Atlantic Meridional Overturning Circulation,4,1773,0.45154833793640137
MiniLM,Atlantic Meridional Overturning Circulation,4,1772,0.4384811222553253
MiniLM,Atlantic Meridional Overturning Circulation,4,1769,0.4336687922477722
MiniLM,Atlantic Meridional Overturning Circulation,4,1775,0.41208139061927795
MiniLM,Atlantic Meridional Overturning Circulation,4,1768,0.4096418619155884
MiniLM,Atlantic Multi-decadal Variability,4,1768,0.4578646123409271
MiniLM,Atlantic Multi-decadal Variability,4,1769,0.4323487877845764
MiniLM,Atlantic Multi-decadal Variability,4,1767,0.4164022207260132
MiniLM,Atlantic Multi-decadal Variability,4,1772,0.40901002287864685
MiniLM,autonomous adaptation,4,1774,0.559284508228302
MiniLM,autonomous adaptation,4,1707,0.456153929233551
MiniLM,autonomous adaptation,4,1815,0.45216354727745056
MiniLM,autonomous adaptation,0,590,0.4494860768318176
MiniLM,autonomous adaptation,4,1813,0.44917595386505127
MiniLM,"Avoid, Shift, Improve",4,1773,0.4682319760322571
MiniLM,"Avoid, Shift, Improve",4,1774,0.4573049247264862
MiniLM,"Avoid, Shift, Improve",4,1707,0.4396284818649292
MiniLM,"Avoid, Shift, Improve",4,1775,0.43039563298225403
MiniLM,"Avoid, Shift, Improve",5,2077,0.42478668689727783
MiniLM,behavioural change,4,1774,0.5253292918205261
MiniLM,behavioural change,5,2077,0.4392329752445221
MiniLM,behavioural change,4,1815,0.42632022500038147
MiniLM,behavioural change,4,1707,0.419401079416275
MiniLM,behavioural change,0,590,0.4190727174282074
MiniLM,benthos,0,524,0.4234505295753479
MiniLM,biodiversity hotspots,7,2238,0.4916062653064728
MiniLM,biodiversity hotspots,0,117,0.4516615867614746
MiniLM,biodiversity hotspots,4,1794,0.4440958499908447
MiniLM,biodiversity hotspots,4,1781,0.444033145904541
MiniLM,biodiversity hotspots,4,1853,0.4377433657646179
MiniLM,bioenergy,3,1664,0.48840123414993286
MiniLM,biogeophysical potential,4,1813,0.41541486978530884
MiniLM,biological  pump,4,1775,0.4094695746898651
MiniLM,biomass,3,1664,0.5059003829956055
MiniLM,biomes,0,326,0.42919328808784485
MiniLM,biomes,0,144,0.4020150899887085
MiniLM,blue carbon,4,1775,0.588159441947937
MiniLM,blue carbon,4,1814,0.4758594036102295
MiniLM,blue carbon,4,1812,0.47335827350616455
MiniLM,blue carbon,4,1776,0.46660709381103516
MiniLM,blue carbon,4,1818,0.4208466708660126
MiniLM,blue infrastructure,0,717,0.4630119800567627
MiniLM,blue infrastructure,0,245,0.4628128111362457
MiniLM,blue infrastructure,5,2074,0.4384627938270569
MiniLM,blue infrastructure,1,859,0.41402268409729004
MiniLM,blue infrastructure,4,1775,0.41274356842041016
MiniLM,capacity building,0,259,0.5986135005950928
MiniLM,capacity building,0,36,0.5372042059898376
MiniLM,capacity building,0,37,0.5089794397354126
MiniLM,capacity building,0,256,0.4911574721336365
MiniLM,capacity building,5,2140,0.4910900890827179
MiniLM,carbon–climate feedback,4,1775,0.5513847470283508
MiniLM,carbon–climate feedback,4,1774,0.5320498943328857
MiniLM,carbon–climate feedback,4,1700,0.5023832321166992
MiniLM,carbon–climate feedback,4,1773,0.4603598117828369
MiniLM,carbon–climate feedback,4,1772,0.43988773226737976
MiniLM,carbon dioxide,4,1775,0.410720556974411
MiniLM,carbon dioxide,5,2083,0.41009998321533203
MiniLM,carbon dioxide,4,1700,0.4045315086841583
MiniLM,carbon dioxide,5,2079,0.4008099138736725
MiniLM,carbon dioxide  fertilisation,3,1664,0.46483033895492554
MiniLM,carbon dioxide capture and utilisation,4,1700,0.44992730021476746
MiniLM,carbon dioxide removal,4,1775,0.4670855402946472
MiniLM,carbon dioxide removal,4,1700,0.4416157603263855
