Model,Concept,MP Index,Chunk ID,Score
MPNet,abrupt climate change,4,1813,0.40335842967033386
MPNet,access to modern energy services,5,2083,0.4879283607006073
MPNet,access to modern energy services,5,2076,0.4707362651824951
MPNet,access to modern energy services,5,2077,0.46586138010025024
MPNet,access to modern energy services,3,1646,0.44395750761032104
MPNet,access to modern energy services,3,1664,0.4416230320930481
MPNet,acute food insecurity,5,2090,0.4656214714050293
MPNet,adaptation,4,1774,0.47511762380599976
MPNet,adaptation,4,1813,0.4413032829761505
MPNet,adaptation,0,243,0.4064810276031494
MPNet,Adaptation Fund,4,1774,0.5167791843414307
MPNet,Adaptation Fund,4,1813,0.5125648379325867
MPNet,Adaptation Fund,4,1707,0.4656316637992859
MPNet,Adaptation Fund,4,1680,0.4478689730167389
MPNet,Adaptation Fund,4,1773,0.44531169533729553
MPNet,adaptation behaviour,4,1774,0.585312008857727
MPNet,adaptation behaviour,4,1813,0.5464567542076111
MPNet,adaptation behaviour,4,1815,0.5210410952568054
MPNet,adaptation behaviour,4,1707,0.506105899810791
MPNet,adaptation behaviour,5,2059,0.49860042333602905
MPNet,adaptation deficit,4,1774,0.5339238047599792
MPNet,adaptation deficit,4,1813,0.4878172278404236
MPNet,adaptation deficit,4,1815,0.4616929590702057
MPNet,adaptation deficit,0,243,0.44834956526756287
MPNet,adaptation deficit,4,1773,0.44365552067756653
MPNet,adaptation gap,4,1774,0.5139738321304321
MPNet,adaptation gap,4,1815,0.5042698383331299
MPNet,adaptation gap,4,1707,0.48733940720558167
MPNet,adaptation gap,4,1813,0.4859830141067505
MPNet,adaptation gap,4,1773,0.4767736494541168
MPNet,adaptation needs,4,1774,0.6638218760490417
MPNet,adaptation needs,4,1813,0.6364019513130188
MPNet,adaptation needs,4,1773,0.6147729158401489
MPNet,adaptation needs,4,1707,0.6118620038032532
MPNet,adaptation needs,4,1816,0.5812469720840454
MPNet,adaptation opportunity,4,1774,0.5189931988716125
MPNet,adaptation opportunity,0,243,0.494915246963501
MPNet,adaptation opportunity,0,29,0.4440276324748993
MPNet,adaptation opportunity,4,1828,0.4185387194156647
MPNet,adaptation opportunity,4,1813,0.4181787669658661
MPNet,adaptation options,4,1774,0.5658932328224182
MPNet,adaptation options,4,1813,0.44865962862968445
MPNet,adaptation options,4,1680,0.4405323565006256
MPNet,adaptation options,0,243,0.4313559830188751
MPNet,adaptation options,4,1771,0.4225955605506897
MPNet,adaptation pathways,4,1774,0.4450186789035797
MPNet,adaptive governance,4,1774,0.6132568717002869
MPNet,adaptive governance,0,243,0.5441444516181946
MPNet,adaptive governance,4,1707,0.5278204679489136
MPNet,adaptive governance,4,1813,0.5196279287338257
MPNet,adaptive governance,4,1770,0.5131059288978577
MPNet,added value,0,243,0.46055740118026733
MPNet,added value,0,32,0.42236021161079407
MPNet,added value,3,1659,0.4174689054489136
MPNet,adjustments,4,1774,0.46822407841682434
MPNet,adjustments,4,1813,0.46091607213020325
MPNet,adjustments,0,243,0.45113739371299744
MPNet,adjustments,3,1659,0.4044283628463745
MPNet,adjustments,4,1815,0.4002714455127716
MPNet,afforestation,1,812,0.43904417753219604
MPNet,afforestation,3,1664,0.4063599705696106
MPNet,"Agriculture, Forestry and Other Land Use",3,1664,0.46943867206573486
MPNet,"Agriculture, Forestry and Other Land Use",4,1828,0.4127296209335327
MPNet,"Agriculture, Forestry and Other Land Use",4,1775,0.4075891077518463
MPNet,"Agriculture, Forestry and Other Land Use",1,812,0.40119239687919617
MPNet,agroecology,7,2241,0.5626980662345886
MPNet,agroecology,7,2242,0.5253881216049194
MPNet,agroecology,3,1664,0.5214040875434875
MPNet,agroecology,1,811,0.5129563808441162
MPNet,agroecology,7,2243,0.5050107836723328
MPNet,agroforestry,3,1664,0.5519391894340515
MPNet,agroforestry,1,956,0.5377742052078247
MPNet,agroforestry,1,812,0.5231465101242065
MPNet,agroforestry,0,583,0.49722275137901306
MPNet,agroforestry,0,325,0.4965894818305969
MPNet,anthropocene,4,1825,0.4843018352985382
MPNet,anthropocene,4,1696,0.4834282100200653
MPNet,anthropocene,4,1854,0.4642871916294098
MPNet,anthropocene,0,32,0.4638381898403168
MPNet,anthropocene,0,243,0.46201926469802856
MPNet,anthropogenic removals,4,1775,0.5053812861442566
MPNet,anthropogenic removals,3,1664,0.49704328179359436
MPNet,anthropogenic removals,4,1700,0.47751227021217346
MPNet,anthropogenic removals,4,1813,0.47002193331718445
MPNet,anthropogenic removals,4,1707,0.4623681604862213
MPNet,anthropogenic subsidence,2,1104,0.5787575840950012
MPNet,anthropogenic subsidence,2,1108,0.4587518274784088
MPNet,anthropogenic subsidence,2,1103,0.4570079445838928
MPNet,anthropogenic subsidence,3,1662,0.4168712794780731
MPNet,anthropogenic subsidence,0,32,0.40423697233200073
MPNet,apparent hydrological sensitivity,3,1659,0.48628145456314087
MPNet,apparent hydrological sensitivity,5,2059,0.4816836714744568
MPNet,apparent hydrological sensitivity,4,1813,0.47185298800468445
MPNet,apparent hydrological sensitivity,0,590,0.44501662254333496
MPNet,apparent hydrological sensitivity,2,1112,0.42603832483291626
MPNet,arctic oscillation,2,1020,0.4228822588920593
MPNet,arctic oscillation,2,1021,0.4200302064418793
MPNet,arid zone,3,1664,0.43534722924232483
MPNet,artificial ocean upwelling,4,1772,0.4211457669734955
MPNet,artificial ocean upwelling,4,1775,0.4208763837814331
MPNet,Atlantic Multi-decadal Variability,4,1768,0.44209256768226624
MPNet,Atlantic Multi-decadal Variability,4,1770,0.42606595158576965
MPNet,Atlantic Multi-decadal Variability,4,1821,0.42043402791023254
MPNet,Atlantic Multi-decadal Variability,4,1773,0.4126461446285248
MPNet,Atlantic Multi-decadal Variability,4,1772,0.40474796295166016
MPNet,autonomous adaptation,4,1774,0.42317697405815125
MPNet,autonomous adaptation,4,1813,0.41750386357307434
MPNet,"Avoid, Shift, Improve",5,2079,0.529106616973877
MPNet,"Avoid, Shift, Improve",4,1775,0.42419612407684326
MPNet,"Avoid, Shift, Improve",4,1803,0.41830679774284363
MPNet,"Avoid, Shift, Improve",5,2077,0.4116955101490021
MPNet,"Avoid, Shift, Improve",0,243,0.40921851992607117
MPNet,behavioural change,0,243,0.5911002159118652
MPNet,behavioural change,4,1774,0.5706561803817749
MPNet,behavioural change,4,1813,0.5597380995750427
MPNet,behavioural change,4,1707,0.5274332761764526
MPNet,behavioural change,4,1815,0.5239146947860718
MPNet,beta diversity,4,1825,0.4592899680137634
MPNet,beta diversity,4,1828,0.40884119272232056
MPNet,bioenergy,3,1664,0.40234866738319397
MPNet,biogeophysical potential,4,1813,0.552258312702179
MPNet,biogeophysical potential,4,1707,0.49885591864585876
MPNet,biogeophysical potential,4,1775,0.4777466654777527
MPNet,biogeophysical potential,1,832,0.46712014079093933
MPNet,biogeophysical potential,4,1828,0.46675974130630493
MPNet,biomass,3,1664,0.4077424108982086
MPNet,biomes,0,326,0.41232630610466003
MPNet,biomes,3,1664,0.4117281436920166
MPNet,biomes,0,143,0.4044506847858429
MPNet,blue carbon,4,1775,0.5659129619598389
MPNet,blue carbon,4,1821,0.5611696243286133
MPNet,blue carbon,4,1710,0.5298587679862976
MPNet,blue carbon,4,1776,0.5188039541244507
MPNet,blue carbon,4,1768,0.515842854976654
MPNet,blue infrastructure,3,1540,0.5165113806724548
